Run,Collection_Date,geo_loc_name,Host,isolate,isolation_source,replicate,Sample Name
SRR12773079,23/08/2018,China: Huishui,pepper,HSSBepidermis_D1,Stem bottom epidermis,biological replicate 1,F_Sample_100
SRR12773080,23/08/2018,China: Huishui,pepper,HSSUepidermis_H3,Stem upper epidermis,biological replicate 3,F_Sample_99
SRR12773081,23/08/2018,China: Huishui,pepper,HSSUepidermis_H2,Stem upper epidermis,biological replicate 2,F_Sample_98
SRR12773082,23/08/2018,China: Huishui,pepper,HSSUepidermis_H1,Stem upper epidermis,biological replicate 1,F_Sample_97
SRR12773083,23/08/2018,China: Huishui,pepper,HSSMepidermis_H3,Stem middle epidermis,biological replicate 3,F_Sample_96
SRR12773084,23/08/2018,China: Huishui,pepper,HSSMepidermis_H2,Stem middle epidermis,biological replicate 2,F_Sample_95
SRR12773085,23/08/2018,China: Huishui,pepper,HSSMepidermis_H1,Stem middle epidermis,biological replicate 1,F_Sample_94
SRR12773086,23/08/2018,China: Huishui,pepper,HSSBepidermis_H3,Stem bottom epidermis,biological replicate 3,F_Sample_93
SRR12773087,23/08/2018,China: Huishui,pepper,HSSBepidermis_H2,Stem bottom epidermis,biological replicate 2,F_Sample_92
SRR12773088,23/08/2018,China: Huishui,pepper,HSSBepidermis_H1,Stem bottom epidermis,biological replicate 1,F_Sample_91
SRR12773089,23/08/2018,China: Huishui,pepper,HSBS_D1,bulk soil,biological replicate 1,F_Sample_10
SRR12773090,23/08/2018,China: Guiyang,pepper,GYSUepidermis_D3,Stem upper epidermis,biological replicate 3,F_Sample_90
SRR12773091,23/08/2018,China: Guiyang,pepper,GYSUepidermis_D2,Stem upper epidermis,biological replicate 2,F_Sample_89
SRR12773092,23/08/2018,China: Guiyang,pepper,GYSUepidermis_D1,Stem upper epidermis,biological replicate 1,F_Sample_88
SRR12773093,23/08/2018,China: Guiyang,pepper,GYSMepidermis_D3,Stem middle epidermis,biological replicate 3,F_Sample_87
SRR12773094,23/08/2018,China: Guiyang,pepper,GYSMepidermis_D2,Stem middle epidermis,biological replicate 2,F_Sample_86
SRR12773095,23/08/2018,China: Guiyang,pepper,GYSMepidermis_D1,Stem middle epidermis,biological replicate 1,F_Sample_85
SRR12773096,23/08/2018,China: Guiyang,pepper,GYSBepidermis_D3,Stem bottom epidermis,biological replicate 3,F_Sample_84
SRR12773097,23/08/2018,China: Guiyang,pepper,GYSBepidermis_D2,Stem bottom epidermis,biological replicate 2,F_Sample_83
SRR12773098,23/08/2018,China: Guiyang,pepper,GYSBepidermis_D1,Stem bottom epidermis,biological replicate 1,F_Sample_82
SRR12773099,23/08/2018,China: Guiyang,pepper,GYSUepidermis_H3,Stem upper epidermis,biological replicate 3,F_Sample_81
SRR12773100,23/08/2018,China: Huishui,pepper,HSBS_H3,bulk soil,biological replicate 3,F_Sample_9
SRR12773101,23/08/2018,China: Guiyang,pepper,GYSUepidermis_H2,Stem upper epidermis,biological replicate 2,F_Sample_80
SRR12773102,23/08/2018,China: Guiyang,pepper,GYSUepidermis_H1,Stem upper epidermis,biological replicate 1,F_Sample_79
SRR12773103,23/08/2018,China: Guiyang,pepper,GYSMepidermis_H3,Stem middle epidermis,biological replicate 3,F_Sample_78
SRR12773104,23/08/2018,China: Guiyang,pepper,GYSMepidermis_H2,Stem middle epidermis,biological replicate 2,F_Sample_77
SRR12773105,23/08/2018,China: Guiyang,pepper,GYSMepidermis_H1,Stem middle epidermis,biological replicate 1,F_Sample_76
SRR12773106,23/08/2018,China: Guiyang,pepper,GYSBepidermis_H3,Stem bottom epidermis,biological replicate 3,F_Sample_75
SRR12773107,23/08/2018,China: Guiyang,pepper,GYSBepidermis_H2,Stem bottom epidermis,biological replicate 2,F_Sample_74
SRR12773108,23/08/2018,China: Guiyang,pepper,GYSBepidermis_H1,Stem bottom epidermis,biological replicate 1,F_Sample_73
